neuron_id,spike_array_horizontal_line.pkl,spike_array_image_135.pkl,spike_array_image_45.pkl,spike_array_vertical_line.pkl
959,0.0,5.0,0.0,0.0
961,0.0,0.0,10.0,0.0
963,0.0,0.0,5.0,0.0
974,0.0,0.0,0.0,10.0
975,0.0,0.0,0.0,5.0
976,0.0,0.0,0.0,10.0
986,0.0,5.0,0.0,0.0
988,0.0,10.0,0.0,0.0
992,0.0,0.0,5.0,0.0
1007,0.0,0.0,0.0,5.0
1008,0.0,0.0,0.0,15.0
1009,0.0,0.0,0.0,10.0
1010,0.0,0.0,0.0,5.0
1020,0.0,5.0,0.0,0.0
1021,0.0,10.0,0.0,0.0
1022,0.0,5.0,0.0,0.0
1023,0.0,5.0,0.0,0.0
